,Food in Sources,Food at Home,Min Distance,Best Distance,ticks,n_ants
0,250,0,0.0,562.8641043804446,100,8
1,250,0,0.0,562.8641043804446,200,8
2,249,0,0.0,562.8641043804446,300,8
3,249,1,935.0,562.8641043804446,400,8
4,247,1,935.0,562.8641043804446,500,8
5,250,0,0.0,568.5208879188169,100,16
6,250,0,0.0,568.5208879188169,200,16
7,247,0,0.0,568.5208879188169,300,16
8,247,1,897.5,568.5208879188169,400,16
9,246,2,897.5,568.5208879188169,500,16
10,250,0,0.0,562.8641043804446,100,32
11,246,0,0.0,562.8641043804446,200,32
12,242,3,635.0,562.8641043804446,300,32
13,236,7,635.0,562.8641043804446,400,32
14,226,12,650.0,562.8641043804446,500,32
15,250,0,0.0,568.5208879188169,100,64
16,247,0,0.0,568.5208879188169,200,64
17,238,0,0.0,568.5208879188169,300,64
18,232,6,810.0,568.5208879188169,400,64
19,217,13,810.0,568.5208879188169,500,64
20,250,0,0.0,562.8641043804446,100,128
21,245,0,0.0,562.8641043804446,200,128
22,227,5,637.5,562.8641043804446,300,128
23,214,19,637.5,562.8641043804446,400,128
24,185,30,642.5,562.8641043804446,500,128
25,250,0,0.0,562.8641043804446,100,256
26,234,0,0.0,562.8641043804446,200,256
27,197,11,635.0,562.8641043804446,300,256
28,158,42,635.0,562.8641043804446,400,256
29,87,72,627.5,562.8641043804446,500,256
