,n_ants,scenario,home_position,time
0,8,scenario 1,100,446
1,8,scenario 1,100,446
0,8,scenario 1,200,1635
1,8,scenario 1,200,1635
0,8,scenario 2,100,1998
1,8,scenario 2,100,1998
0,8,scenario 2,200,1119
1,8,scenario 2,200,1119
0,16,scenario 1,100,1365
1,16,scenario 1,100,1365
0,16,scenario 1,200,2635
1,16,scenario 1,200,2635
0,16,scenario 2,100,754
1,16,scenario 2,100,754
0,16,scenario 2,200,960
1,16,scenario 2,200,960
0,32,scenario 1,100,185
1,32,scenario 1,100,185
0,32,scenario 1,200,621
1,32,scenario 1,200,621
0,32,scenario 2,100,824
1,32,scenario 2,100,824
0,32,scenario 2,200,373
1,32,scenario 2,200,373
0,64,scenario 1,100,106
1,64,scenario 1,100,106
0,64,scenario 1,200,468
1,64,scenario 1,200,468
0,64,scenario 2,100,414
1,64,scenario 2,100,414
0,64,scenario 2,200,348
1,64,scenario 2,200,348
0,128,scenario 1,100,80
1,128,scenario 1,100,80
0,128,scenario 1,200,132
1,128,scenario 1,200,132
0,128,scenario 2,100,244
1,128,scenario 2,100,244
0,128,scenario 2,200,290
1,128,scenario 2,200,290
0,256,scenario 1,100,61
1,256,scenario 1,100,61
0,256,scenario 1,200,135
1,256,scenario 1,200,135
0,256,scenario 2,100,218
1,256,scenario 2,100,218
0,256,scenario 2,200,69
1,256,scenario 2,200,69
